state_fips,county_fips,median_household_income,pct_households_below_poverty,pct_pop_over_65,pct_pop_uninsured,pct_pop_using_public_transit,pop_density
5,1,39466,14.6,18.4,6.8,0,17.68383354
5,3,39635,16.6,19.4,9.2,0.3,21.24256434
5,5,41481,9.9,30.7,5.6,0,75.655216879
5,7,64141,7.7,13.1,9.4,0.1,329.21407866
5,9,43262,11.1,20.1,6.8,0.1,63.444582879
5,11,39510,17.3,18.4,11.5,0,16.577959308
5,13,44022,11.8,20.8,8.2,0.4,8.25531362
5,15,43505,9.2,21.9,12.4,0,45.043997291
5,17,33051,25,19.5,8.9,1.7,15.693465327
5,19,39752,13.3,16.1,8.6,0.8,25.77136629
5,21,33935,16.9,20.8,6.9,0,22.754852092
5,23,43391,9.7,26.5,9.2,0,45.00446495
5,25,42460,14.8,20.1,5.1,0.2,13.309272715
5,27,36148,21.8,16.9,8.2,0.1,30.623376346
5,29,41196,13,18.8,7.4,0,37.745621651
5,31,45868,13.1,13.3,9.3,0.5,155.98965575
5,33,46619,11.8,16.1,8.9,0.2,106.53503309
5,35,39002,17.6,13.3,9.1,0.3,78.565511162
5,37,43838,12.8,18,7.3,0.1,26.637704838
5,39,36628,10.1,21.3,8,0,10.502163448
5,41,30234,22.9,18.1,7.3,0.3,14.790360066
5,43,43014,16.5,16.7,5.9,0,21.993583557
5,45,51930,10.6,11.8,9.7,0.1,194.46828522
5,47,39463,14.6,18.9,5.8,1.3,29.095918425
5,49,36184,18.3,25.3,9.1,1.5,20.183176572
5,51,43146,12.6,22.8,11.2,0.5,146.66939609
5,53,51920,11.5,17.2,5,0,28.908936635
5,55,47497,11.8,15.6,6.9,0.1,78.45926416
5,57,41355,19.1,17.6,9.9,0.4,29.596390322
5,59,41262,13.4,18.3,8.5,0.2,54.886284961
5,61,35900,15.1,17.5,9.1,1.2,22.430767562
5,63,43523,12,17.2,8.6,0.2,49.507557221
5,65,40218,12.2,24.9,7.2,0,23.474179931
5,67,33174,17.7,17.3,8.1,0.1,26.377455852
5,69,38289,17.9,16.3,7.9,0.2,76.80457988
5,71,37170,16,16,11,0.3,40.279389752
5,73,32412,18.5,22.8,10,0.3,12.538444942
5,75,38528,12.2,19.2,7.8,0.2,27.919679211
5,77,28367,19,18.4,8.5,0,14.697457631
5,79,45166,12.3,14.6,7.4,0.2,23.193334411
5,81,45388,9.9,20.4,6.2,0,23.032572119
5,83,39748,16.8,19.2,8,0.4,30.307569482
5,85,57509,8.3,12.8,7.6,0.2,95.03693678
5,87,43891,14,18.4,11.4,0.7,19.869131375
