median_household_income,state,county
51951,38,035
80732,38,053
79890,38,057
65648,38,055
48802,38,069
61810,38,073
40862,38,085
65063,38,011
56087,38,033
58144,38,047
53696,38,095
57642,38,093
60074,38,023
60613,38,031
67200,38,081
63942,38,087
75708,38,089
42113,39,053
51559,39,077
37778,39,009
36894,39,001
74243,39,103
82775,39,159
57103,39,021
51933,39,125
67109,39,057
58762,39,049
45464,39,101
41731,39,115
56348,39,169
52940,39,175
63358,39,017
48462,39,067
55131,39,083
47346,39,139
42114,39,163
55644,39,063
66175,39,045
57665,39,039
59083,39,069
44819,39,081
62001,39,137
51354,39,027
46478,39,047
62214,39,129
55150,39,091
55448,39,153
51701,39,143
61042,39,149
53354,27,033
97744,27,139
71669,27,039
65138,27,157
52309,27,117
54508,27,035
55206,27,107
81881,27,171
65027,27,103
60676,27,041
55912,27,051
57112,27,069
67451,27,079
44537,27,087
80409,27,025
53230,27,127
56943,27,173
52872,27,153
47410,27,007
55861,27,013
58729,27,055
52199,27,073
49068,27,077
57131,27,111
55612,27,161
53344,27,137
79923,27,003
60606,27,145
52301,27,081
58723,27,089
53888,27,095
92376,27,163
60390,27,017
53300,27,065
47129,27,071
54962,27,097
65758,27,131
62731,27,147
56588,27,125
45989,27,001
52286,27,043
57500,27,101
59089,27,067
59516,27,075
59890,27,133
62761,27,143
48784,27,155
59278,27,005
74113,27,053
57728,27,015
54552,27,023
46291,27,029
55472,27,057
72473,27,059
53915,27,091
53665,27,099
49138,27,115
74880,27,109
45860,27,159
56357,27,009
52447,27,047
61275,27,085
58132,27,121
58363,27,149
48577,27,151
21093,28,051
31854,28,005
36440,28,013
37312,28,141
37970,28,153
65365,48,015
36125,48,261
55048,48,355
49504,48,089
55229,48,409
49872,48,379
67397,48,381
34813,48,385
44698,48,411
55677,48,413
59286,48,431
30988,48,507
55469,48,057
70087,48,065
46354,48,155
48731,48,161
60492,48,175
47500,48,193
42238,48,197
49670,48,335
42647,48,045
53021,48,285
44975,48,445
53194,48,243
32049,48,247
77416,48,339
51250,48,111
42293,48,479
66563,48,011
45000,48,069
42021,48,273
29944,48,489
37899,48,107
46827,48,151
37382,48,131
63071,48,031
46088,48,241
31468,48,271
51841,48,117
69369,48,167
51792,48,283
73854,48,393
43936,48,457
49352,48,483
47505,48,037
43894,48,043
45926,48,263
53511,48,423
51152,48,105
59105,48,199
51528,48,227
44818,48,289
51774,48,337
51569,48,365
60445,49,027
56877,49,053
48269,49,025
48673,49,019
49886,49,033
77449,49,051
59937,49,003
46809,49,021
53020,49,041
64636,49,057
63919,49,013
44680,49,037
71230,49,035
66736,49,047
81250,49,009
79690,49,011
44694,49,055
50278,49,007
52055,49,015
89274,49,029
56840,49,005
52337,49,017
62237,49,023
54973,50,021
47915,50,019
69583,50,013
60159,50,017
69896,50,007
60365,50,015
58303,50,027
49348,50,005
52659,50,025
65093,50,001
62108,50,023
40978,51,185
124796,51,610
80667,51,685
96831,51,735
45801,51,183
45738,51,820
43028,51,770
57185,51,775
49146,51,710
39212,51,037
121133,51,059
44534,51,081
83048,51,095
39482,51,167
40425,51,173
36466,51,678
50258,51,031
36683,51,089
87321,51,099
50739,51,103
32718,51,105
67009,51,115
51917,51,119
67001,51,149
59817,51,165
39144,51,169
54844,51,181
56176,51,011
52639,51,067
54516,51,097
54641,51,121
79698,51,127
46221,51,049
89741,51,075
42289,51,083
54197,51,113
103445,51,153
54611,51,175
46147,51,091
41927,51,025
64715,51,033
66701,51,073
43553,51,131
40486,51,141
83914,51,145
54805,51,163
54921,51,171
97469,51,061
59192,51,036
73116,51,047
55880,51,053
64979,51,079
88652,51,085
41868,51,111
68481,51,137
30857,51,595
48043,51,197
75790,51,550
43893,51,660
75394,51,003
61541,51,019
68410,51,023
38345,51,195
37904,51,520
50224,51,740
56163,51,830
47794,51,005
43532,51,035
46262,51,191
58677,51,133
47951,51,139
68189,51,187
96733,51,510
63274,51,630
54550,51,650
117374,51,013
40497,51,670
30806,51,027
73250,51,069
106773,51,179
90367,51,199
45117,51,760
62446,51,125
45382,51,143
28071,51,720
74931,51,065
58526,51,007
53797,51,840
43210,51,001
49729,51,063
33969,51,077
42869,51,135
50433,54,033
48418,54,069
37610,54,013
50661,54,065
42296,54,081
42213,54,007
39580,54,001
26547,54,047
36875,54,099
40045,54,109
44783,54,035
39372,54,055
40401,54,097
34312,54,101
60615,54,003
40379,54,019
41071,54,023
40099,54,027
36049,54,089
49772,54,009
46449,54,017
39038,54,025
47186,54,031
48605,54,049
46354,54,057
31305,54,059
45580,54,029
39423,54,041
38468,54,067
39702,54,075
41108,54,095
41094,54,083
47205,54,091
40189,54,105
35875,54,015
35810,54,021
49926,54,061
36493,54,063
42125,54,103
38321,54,011
45426,54,039
41210,54,071
48317,54,077
71610,53,035
89418,53,033
48583,53,051
60711,53,055
42163,53,075
49871,53,077
51752,53,015
41924,53,019
50216,53,041
47770,53,027
64809,53,029
54085,53,069
62002,53,021
54982,53,025
59285,53,073
45808,53,047
55193,53,037
65650,53,005
51111,53,013
50423,53,003
52525,53,023
55726,53,045
49200,53,065
54852,53,063
56135,53,007
55832,55,105
51195,55,137
43280,55,001
52910,55,007
59629,55,065
58178,55,081
72111,55,093
53473,55,141
43861,55,003
72530,55,015
49128,55,037
63676,55,055
60929,55,059
40801,55,051
51872,55,019
81124,55,109
57105,55,083
56086,55,069
57680,55,135
50903,55,005
44555,55,113
53260,55,047
49586,55,077
47497,55,075
59749,55,101
57124,55,139
44313,55,041
52958,55,043
44302,55,107
58943,55,117
46557,55,067
63536,55,087
50905,55,123
65348,55,021
63118,55,061
59963,55,009
59543,55,073
54198,55,085
55865,55,121
48422,55,129
58870,55,027
61106,55,127
48853,55,023
53489,55,071
56732,55,111
49982,55,013
57288,55,017
58287,55,029
52480,55,031
52984,55,053
62785,55,049
82807,55,089
51335,55,103
79916,56,005
55991,56,019
60550,56,025
63923,56,009
39359,56,027
83831,56,039
73008,56,037
47096,56,031
58521,56,033
53435,56,003
64055,56,011
62666,56,029
46865,56,001
60206,56,007
49774,56,015
58235,56,041
53426,56,043
51875,56,017
54242,56,013
78680,56,035
52867,56,045
17201,72,065
19880,72,069
20589,72,101
14120,72,097
31193,72,139
16630,72,115
14155,72,099
23802,72,049
16887,72,123
16889,72,017
14954,72,153
33937,72,061
16080,72,023
19068,72,053
15761,72,109
21591,72,117
17255,72,007
26017,72,021
21320,72,035
19788,72,095
17592,72,111
14812,72,131
28863,72,135
15539,72,147
16013,72,151
25006,72,025
20673,72,029
19833,72,043
29667,72,051
15970,72,019
13319,72,107
19379,72,011
19103,72,037
12812,72,045
16748,72,071
14540,72,081
21792,72,085
22146,72,127
18895,72,143
13262,72,093
19720,72,009
18969,72,077
16846,72,121
12902,72,001
16831,72,027
13242,72,055
19394,72,067
19459,72,091
19356,72,103
19332,72,105
15619,72,125
16533,72,141
18001,72,013
16976,72,015
18253,72,033
20315,72,054
30141,01,099
44515,01,079
48056,01,081
37458,01,107
23132,01,119
34884,01,023
32809,01,091
40978,01,113
40601,01,039
39812,01,041
46265,01,077
30833,01,085
56460,01,083
54887,01,115
38504,01,133
42558,01,043
59347,01,051
39816,01,071
41012,01,121
40794,01,129
53155,01,031
49751,01,103
45182,01,021
47558,01,033
45960,01,045
44023,01,055
39233,01,049
36756,01,075
41449,01,111
46166,01,097
41748,01,127
40188,01,029
21804,01,063
34186,01,005
32152,01,011
45197,01,015
36127,01,025
47990,01,101
42490,01,095
48610,01,067
63417,01,089
43361,01,123
27237,01,131
84196,02,068
66684,02,122
85517,02,016
84688,02,060
78281,02,150
62949,02,188
54212,02,050
75431,02,185
71534,02,220
77095,02,090
70356,02,130
75905,02,170
58987,02,180
58750,02,070
64342,02,100
65833,02,282
88213,02,110
46406,02,164
71541,02,240
40000,02,290
83280,02,020
