"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG"
"USC00444876","LEXINGTON, VA US","37.7767","-79.4385","334.4","2020-01","38.6"
"USC00444876","LEXINGTON, VA US","37.7767","-79.4385","334.4","2020-02","41.2"
