STATION,NAME,LATITUDE,LONGITUDE,county,state,fips,temp_id
USC00514500,"KII KAHUKU 911, HI US",21.6793,-157.9453,Honolulu,Hawaii,15003,51003
USC00516128,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025,Honolulu,Hawaii,15003,51003
USC00519738,"WAIPAHU 750, HI US",21.386,-158.007,Honolulu,Hawaii,15003,51003
USR0000HKII,"KII HAWAII, HI US",21.6883,-157.9525,Honolulu,Hawaii,15003,51003
US1HIHN0014,"AIEA 0.7 ENE, HI US",21.3930397,-157.9185791,Honolulu,Hawaii,15003,51003
USC00514829,"KUALOA RANCH 885.6, HI US",21.53,-157.85028,Honolulu,Hawaii,15003,51003
USC00514828,"KUALOA RANCH HAKIPUU 886.11, HI US",21.51083,-157.86222,Honolulu,Hawaii,15003,51003
USC00518760,"ULUPALAKUA RANCH 250, HI US",20.6487,-156.3982,Maui,Hawaii,15009,51009
USC00515000,"KULA BRNCH STATION 324.5, HI US",20.7584,-156.3212,Maui,Hawaii,15009,51009
USC00519376,"WAIKAPU 390, HI US",20.8536,-156.5088,Maui,Hawaii,15009,51009
USC00515004,"KULA HOSPITAL 267, HI US",20.7009,-156.3562,Maui,Hawaii,15009,51009
USC00519315,"WAIHEE VLY 482, HI US",20.9414,-156.5248,Maui,Hawaii,15009,51009
USW00022534,"MOLOKAI KAUNAKAKAI MOLOKAI AIRPORT, HI US",21.1545,-157.0961,Maui,Hawaii,15009,51009
USC00519275,"WAIEHU CAMP 484, HI US",20.9158,-156.5095,Maui,Hawaii,15009,51009
USR0000HLAN,"LANAI 1 HAWAII, HI US",20.8733,-157.0064,Maui,Hawaii,15009,51009
USR0000HKAN,"KANELOA HAWAII, HI US",20.5222,-156.5658,Maui,Hawaii,15009,51009
US1HIMI0006,"MAUNALOA 3.2 NNW, HI US",21.1804,-157.23191,Maui,Hawaii,15009,51009
USC00513317,"KAPALUA W. MAUI AIRPORT 462.4, HI US",20.9625,-156.6753,Maui,Hawaii,15009,51009
US1HIMI0002,"KAUNAKAKAI 3.5 ESE, HI US",21.068763,-156.962605,Maui,Hawaii,15009,51009
USC00511004,"HALEAKALA RANGER STATION 338, HI US",20.7603,-156.247,Maui,Hawaii,15009,51009
USC00511125,"HANA AIRPORT 355, HI US",20.7947,-156.0154,Maui,Hawaii,15009,51009
USW00022516,"KAHULUI AIRPORT, HI US",20.89972,-156.42861,Maui,Hawaii,15009,51009
USC00515842,"MAKENA GLF CRS 249.1, HI US",20.6419,-156.44,Maui,Hawaii,15009,51009
USC00518407,"PUUKOLII 457.1, HI US",20.9285,-156.6735,Maui,Hawaii,15009,51009
USR0000HMLK,"MOLOKAI 1 HAWAII, HI US",21.115,-156.9475,Maui,Hawaii,15009,51009
USC00515715,"MAHINAHINA 466, HI US",20.9594,-156.6505,Maui,Hawaii,15009,51009
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,Kauai,Hawaii,15007,51007
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,Kauai,Hawaii,15007,51007
US1HIKI0002,"LIHUE 1.2 NNW, HI US",21.99235,-159.3585833,Kauai,Hawaii,15007,51007
US1HIKI0024,"HANALEI 3.0 W, HI US",22.210271,-159.549178,Kauai,Hawaii,15007,51007
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98389,-159.34056,Kauai,Hawaii,15007,51007
US1HIKI0023,"KAPAA 2.7 SSW, HI US",22.0593,-159.365,Kauai,Hawaii,15007,51007
US1HIKI0006,"KILAUEA 0.5 SE, HI US",22.205703,-159.40479,Kauai,Hawaii,15007,51007
US1HIKI0026,"KAPAA 2.3 SW, HI US",22.072055,-159.376707,Kauai,Hawaii,15007,51007
USC00518165,"PRINCEVILLE RANCH 1117, HI US",22.2181,-159.4828,Kauai,Hawaii,15007,51007
US1HIKI0005,"KAPAA 1.4 W, HI US",22.093611,-159.375833,Kauai,Hawaii,15007,51007
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",22.1306,-159.7153,Kauai,Hawaii,15007,51007
US1HIKI0020,"KOLOA 2.1 SSE, HI US",21.878788,-159.451827,Kauai,Hawaii,15007,51007
US1HIKI0021,"ANAHOLA 2.8 N, HI US",22.186885,-159.323565,Kauai,Hawaii,15007,51007
USC00515864,"MAKAWELI 965, HI US",21.91889,-159.62778,Kauai,Hawaii,15007,51007
USR0000HMOL,"MOLOAA DAIRY HAWAII, HI US",22.1833,-159.3375,Kauai,Hawaii,15007,51007
USC00512896,"KALAUPAPA 563, HI US",21.1901,-156.9827,Kalawao,Hawaii,15005,51005
USR0000HMAK,"MAKAPULAPAI HAWAII, HI US",21.2033,-156.9661,Kalawao,Hawaii,15005,51005
