STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_mar,county,state,fips
USR0000HPAL,"PALI 2 HAWAII, HI US",19.3175,-155.2922,847.3,3/18/20,62,,,,
USR0000HPAL,"PALI 2 HAWAII, HI US",19.3175,-155.2922,847.3,3/19/20,62,,,,
USR0000HPAL,"PALI 2 HAWAII, HI US",19.3175,-155.2922,847.3,3/20/20,63,,,,
USR0000HPAL,"PALI 2 HAWAII, HI US",19.3175,-155.2922,847.3,3/21/20,62,,,,
USR0000HPAL,"PALI 2 HAWAII, HI US",19.3175,-155.2922,847.3,3/22/20,63,,,,
USR0000HPAL,"PALI 2 HAWAII, HI US",19.3175,-155.2922,847.3,3/23/20,62,,,,
USR0000HPAL,"PALI 2 HAWAII, HI US",19.3175,-155.2922,847.3,3/24/20,63,,,,
USR0000HPAL,"PALI 2 HAWAII, HI US",19.3175,-155.2922,847.3,3/25/20,61,,,,
USR0000HPAL,"PALI 2 HAWAII, HI US",19.3175,-155.2922,847.3,3/26/20,60,,,,
USR0000HPAL,"PALI 2 HAWAII, HI US",19.3175,-155.2922,847.3,3/27/20,62,,,,
USR0000HPAL,"PALI 2 HAWAII, HI US",19.3175,-155.2922,847.3,3/28/20,63,,,,
USR0000HPAL,"PALI 2 HAWAII, HI US",19.3175,-155.2922,847.3,3/29/20,62,,,,
USR0000HPAL,"PALI 2 HAWAII, HI US",19.3175,-155.2922,847.3,3/30/20,63,,,,
USR0000HPAL,"PALI 2 HAWAII, HI US",19.3175,-155.2922,847.3,3/31/20,63,,,,
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,394.4,3/1/20,,,,,
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,394.4,3/2/20,,,,,
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,394.4,3/3/20,,,,,
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,394.4,3/4/20,,,,,
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,394.4,3/5/20,,,,,
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,394.4,3/6/20,,,,,
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,394.4,3/7/20,,,,,
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,394.4,3/8/20,,,,,
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,394.4,3/9/20,,,,,
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,394.4,3/10/20,,,,,
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,394.4,3/11/20,,,,,
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,394.4,3/12/20,,,,,
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,394.4,3/13/20,,,,,
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,394.4,3/14/20,,,,,
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,394.4,3/15/20,,,,,
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,394.4,3/16/20,,,,,
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,394.4,3/17/20,,,,,
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,394.4,3/18/20,,,,,
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,394.4,3/19/20,,,,,
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,394.4,3/20/20,,,,,
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,394.4,3/21/20,,,,,
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,394.4,3/22/20,,,,,
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,394.4,3/23/20,,,,,
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,394.4,3/24/20,,,,,
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,394.4,3/25/20,,,,,
